logo,texture,result
"Dansk_boldspil_union_logo","satin_stitch","satin_stitch_Dansk_boldspil_union_logo"
"Allianz","leather_convex","leather_convex_Allianz"
"CNN_logo_PNG3-1","TS_02_1200_1147","TS_02_1200_1147_CNN_logo_PNG3-1"
"batman_logo_PNG1","satin_stitch2","satin_stitch2_batman_logo_PNG1"
"Flickr_logo_PNG1","leather_convex","leather_convex_Flickr_logo_PNG1"
"Apple_logo_PNG3","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_Apple_logo_PNG3"
"Dominos_logo_PNG3","satin_stitch","satin_stitch_Dominos_logo_PNG3"
"Albert_Heijn_Logo","basket_woven_stitch_thin","basket_woven_stitch_thin_Albert_Heijn_Logo"
"2023_Facebook_icon","TS_02_1200_1147","TS_02_1200_1147_2023_Facebook_icon"
"Reebok_logo_PNG14","tatami_stitch","tatami_stitch_Reebok_logo_PNG14"
"Burger_King_logo_(1999–2020)","satin_stitch","satin_stitch_Burger_King_logo_(1999–2020)"
"Fritos-Logo","TS_02_1200_1147","TS_02_1200_1147_Fritos-Logo"
"Dropbox_Icon","tatami_stitch","tatami_stitch_Dropbox_Icon"
"Adobe_Systems_logo_and_wordmark","satin_stitch","satin_stitch_Adobe_Systems_logo_and_wordmark"
"Evian_2023_logo","TS_02_1200_1147","TS_02_1200_1147_Evian_2023_logo"
"Marmot_logo_PNG4","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_Marmot_logo_PNG4"
"Volkswagen_Logo_till_1995","metal_convex","metal_convex_Volkswagen_Logo_till_1995"
"Nissan_logo_2001","brass_convex","brass_convex_Nissan_logo_2001"
"AirAsia_New_Logo","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_AirAsia_New_Logo"
"Bosideng-Logo-old","TS_02_1200_1147","TS_02_1200_1147_Bosideng-Logo-old"
"Pinterest_logo_PNG2","TS_02_1200_1147","TS_02_1200_1147_Pinterest_logo_PNG2"
"BBC_logo_PNG13","metal_convex","metal_convex_BBC_logo_PNG13"
"Wordpress_logo_PNG2","metal_convex","metal_convex_Wordpress_logo_PNG2"
"BMW","leather_convex","leather_convex_BMW"
"Carglass-Logo","leather_convex","leather_convex_Carglass-Logo"
"Nissan_logo_2001","leather_convex","leather_convex_Nissan_logo_2001"
"Audi_Logo_1995","leather_convex","leather_convex_Audi_Logo_1995"
"Reebok_International_logo","tatami_stitch","tatami_stitch_Reebok_International_logo"
"Telegram_logo_PNG3","brass_convex","brass_convex_Telegram_logo_PNG3"
"Cheetos_logo","leather_convex","leather_convex_Cheetos_logo"
"Pepsi_2023","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_Pepsi_2023"
"Pizza_Hut_(2010)","tatami_stitch","tatami_stitch_Pizza_Hut_(2010)"
"Shopee_logo","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_Shopee_logo"
"SML-Logo","satin_stitch2","satin_stitch2_SML-Logo"
"Air_Cairo_logo","leather_convex","leather_convex_Air_Cairo_logo"
"Facebook_Messenger_logo_2020","tatami_stitch","tatami_stitch_Facebook_Messenger_logo_2020"
"Meta_Platforms_logo","satin_stitch2","satin_stitch2_Meta_Platforms_logo"
"ANZ-Logo-2009","TS_02_1200_1147","TS_02_1200_1147_ANZ-Logo-2009"
"Esso_logo_PNG6","satin_stitch","satin_stitch_Esso_logo_PNG6"
"McDonald's_Golden_Arches","brass_convex","brass_convex_McDonald's_Golden_Arches"
"Pringles_logo_PNG1","brass_convex","brass_convex_Pringles_logo_PNG1"
"Netflix_logo_PNG4","satin_stitch2","satin_stitch2_Netflix_logo_PNG4"
"Seal_of_the_Vice_President_of_the_United_States","satin_stitch2","satin_stitch2_Seal_of_the_Vice_President_of_the_United_States"
"Castaner_logo_PNG1","TS_02_1200_1147","TS_02_1200_1147_Castaner_logo_PNG1"
"Line_Logo_PNG2","brass_convex","brass_convex_Line_Logo_PNG2"
"Logo_of_Twitter","satin_stitch2","satin_stitch2_Logo_of_Twitter"
"Yahoo!_(2009-2013)","metal_convex","metal_convex_Yahoo!_(2009-2013)"
"Lululemon_logo_PNG1","metal_convex","metal_convex_Lululemon_logo_PNG1"
"Instagram_logo_2016","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_Instagram_logo_2016"
"superman_logo_PNG1","chain_stitch_white_padding_outpainting","chain_stitch_white_padding_outpainting_superman_logo_PNG1"
